pub_name,median_item_price
Poacher Wigan,2.25
Cherry Tree Norwich,2.3
New Finney Gardens Bucknall,2.5
Tappers Harker Long Eaton,3.625
Red Squirrel Stevenston,3.8
March Hare Bishop Auckland,4.0
Talbot Inn Kempsey,4.0
Junction Dorchester,4.125
Pine Marten Dunbar,4.2
White Hart Calow,4.25
Queen Of Hearts Runcorn,4.25
White Hart Newmarket,4.3
Cobblestones March,4.3
Cobblers Hall Newton Aycliffe,4.3
Old Colliery Edinburgh,4.4
Copper Beech Norwich,4.4
White Heifer That Travelled,4.4
Flying Squirrel Bradford,4.4
Monkfield Arms Cambourne,4.4
Sandpiper Hull,4.45
Llanwern Bull Newport,4.45
Wagtail Wincanton,4.45
Dunnichen Stone Forfar,4.45
Kings Chamber Thorne,4.5
Eight-Foot Way Sheffield,4.5
Iron Forge Scunthorpe,4.5
Y Cerrig Glas Pembroke Dock,4.5
Admirals Table Bridgwater,4.5
Red Kite Caerphilly,4.5
Charlie Purley Bognor Regis,4.5
Ten Lock Flight Runcorn,4.5
Wellington Hotel Liverpool,4.5
Old Gatehouse Kirkintilloch,4.5
Harbour Spring Peterhead,4.5
Orchard Amesbury,4.55
Honey Bee Aylesbury,4.55
Spread Eagle Corby,4.55
Fieldfare Chorley,4.55
White Horse Skegness,4.55
Honeystone Hunstanton,4.55
Lost Coins Haverfordwest,4.574999999999999
Golden Eagle Mansfield,4.6
Apple Cart Peterborough,4.6
Greenstone Dereham,4.65
Spring Tide Lowestoft,4.65
Dancing Betty Murton,4.65
Pepper Mill Stoke,4.65
Old Plane Tree Glasgow,4.65
Fly Line Garforth,4.65
Longacre Skelton,4.65
White Hart Hotel Exeter,4.7
Lingfield Farm Middlesbrough,4.7
Fallow Field Telford,4.7
Old Duke Southport,4.7
Pheasant Ashford,4.7
Kings Arms Newcastle Upon Tyne,4.7
Bayberry Swindon,4.7
Turing Key Bletchley,4.75
Red Deer Crediton,4.75
Middlemore Farm Daventry,4.75
Roebuck Market Harborough,4.75
Cherry Laurel Bridgend,4.75
Bobbin Carrier Bradford,4.8
Spiral Weave Kirkcaldy,4.8
Clock Works Ystradgynlais,4.8
Highland Gate Stirling,4.8
Station Garden Didcot,4.8
Tawny Owl Newark,4.8
Inn On The Green Paignton,4.8
Camperdown Elm Dundee,4.8
Otter Newbridge,4.8
Weavers Whistle Northwich,4.85
Riddle & Rye Exeter,4.85
Holly Blue Pevensey,4.85
Copperpot Knowsley,4.85
Blaina Wharf Newport,4.85
Swan & Cygnet Wakefield,4.85
Lincolnshire Otter Gainsborough,4.85
Little Castle Markham Vale,4.85
Mulberry Leaves Leek,4.85
Pen Y Bont Farm Mold,4.9
Willow Tree Brynmawr,4.9
Fox Cub Spennymoor,4.9
Bull & Bush Torquay,4.9
Chain Runner Livingston,4.9
Alders Ollerton,4.95
Brown Hare Preston,4.95
Barn Owl Gloucester,4.95
Shah Of Persia Poole,4.95
Willows Blackburn,4.95
Sweet Chestnut Dunfermline,4.95
Yorkshire Rose West Yorkshire,4.95
Crown Wrexham,4.95
Running Horse Fakenham,4.95
High Orchard Gloucester,4.95
King Brychan Merthyr Tydfil,4.95
Eighteen Ten Sheffield,4.95
Peacock Birchwood,4.95
Dapple Grey Uttoxeter,4.95
Cotton Mill Newcastle-under-Lyme,4.95
Sailmaker Gosport,4.95
Inkwell at Lichfield,5.0
Jenny Wren Kent,5.0
Elephant & Castle West Moors,5.0
Margam Deer Port Talbot,5.0
Sarsen Stones Farnborough,5.0
Paisley Pear Brackley,5.0
Squirrel Ludlow,5.0
Conquerors March Hastings,5.0
Spindle & Thread High Wycombe,5.05
Queen Of The Loch Balloch,5.1
Copper Coast Camborne,5.1
Featherbed Shrewsbury,5.15
Viking's Landing Liverpool,5.175000000000001
Old Buttercross Oakham,5.2
Water Meadow Melksham,5.2
Steam Wheeler Glasgow,5.225
Guelder Rose Southport,5.25
Cow & Creek Oxford,5.45
One 0 Four Kitchen & Cocktail Lounge,5.55
Duke & Rye Chichester,5.6
Chestnut Tree Wednesbury,7.95
